Flip,Window Size,Top Note,Year,Mint,Flag,Center Note,Bottom Note A,Bottom Note B,ID
1-1,20.5mm,Lincoln Cent,2005,D,US,Center Note,Professional Life,Lincoln Bicentennial,999
1-2,20mm,,2009,P,US,,Presidency,Lincoln Bicentennial,47
1-3,20.5mm,,2009,P,US,,Childhood,Lincoln Bicentennial,44
2-1,20.5mm,,2009,D,US,,Childhood,Lincoln Bicentennial,45
2-2,10mm,,2009,P,US,,Formative Years,Lincoln Bicentennial,48
2-3,20.5mm,,2009,D,US,,Formative Years,Lincoln Bicentennial,49
3-1,20.5mm,,2009,,,,,,
3-2,40mm,,,,,,,,
3-3,20.5mm,,,,,,,,
4-1,20.5mm,,,,,,,,
4-2,20.5mm,,,,,,,,
4-3,20.5mm,,,,,,,,
